Tale,Characters,TaleOccurrenceFrequency,RelationFrequency
3. Marienkind .,"Licht, Tod",1,3
3. Marienkind .,"Kind, Leben",1,5
3. Marienkind .,"König, Baum",1,11
3. Marienkind .,"Feuer, Himmel",1,1
3. Marienkind .,"Hand, Maria",1,1
3. Marienkind .,"Jungfrau, Sprache",1,4
3. Marienkind .,"Wald, Arbeit",1,2
3. Marienkind .,"Engel, Himmel",1,4
3. Marienkind .,"Finger, Feuer",1,1
3. Marienkind .,"Pferd, Baum",1,2
3. Marienkind .,"Mädchen, Finger",1,3
3. Marienkind .,"Hand, Töchterlein",1,1
3. Marienkind .,"Wald, Land",1,7
3. Marienkind .,"Jungfrau, Licht",1,1
3. Marienkind .,"Land, Baum",1,3
3. Marienkind .,"Sprache, Mund",1,1
3. Marienkind .,"Königin, Töchterlein",1,1
3. Marienkind .,"Tod, Holz",1,2
3. Marienkind .,"Erde, Jungfrau",1,3
3. Marienkind .,"König, Kopf",1,12
3. Marienkind .,"Wald, Maria",1,1
3. Marienkind .,"Pferd, Schloß",1,8
3. Marienkind .,"Tür, Türe",1,3
3. Marienkind .,"Mantel, Baum",1,1
3. Marienkind .,"Maria, Tag",1,1
3. Marienkind .,"Hand, Kind",1,11
3. Marienkind .,"Kind, Tag",1,12
3. Marienkind .,"Hand, Schloß",1,3
3. Marienkind .,"Jahr, Töchterlein",1,1
3. Marienkind .,"Herz, Licht",1,2
3. Marienkind .,"Erde, Herz",1,4
3. Marienkind .,"Stimme, Himmel",1,1
3. Marienkind .,"Mädchen, Haar",1,2
3. Marienkind .,"Mädchen, Wald",1,11
3. Marienkind .,"Arbeit, Holz",1,3
3. Marienkind .,"Mantel, Haar",1,1
3. Marienkind .,"Milch, Gold",1,1
3. Marienkind .,"Feuer, Maria",1,1
3. Marienkind .,"Feuer, Herz",1,2
3. Marienkind .,"Licht, Holz",1,1
3. Marienkind .,"Erde, Kind",1,5
3. Marienkind .,"Jungfrau, Stimme",1,1
3. Marienkind .,"Hand, Himmel",1,2
3. Marienkind .,"Jungfrau, Tag",1,2
3. Marienkind .,"Hand, Türe",1,3
3. Marienkind .,"Tür, Licht",1,1
3. Marienkind .,"Feuer, Holz",1,7
3. Marienkind .,"Herz, Stimme",1,2
3. Marienkind .,"Erde, Maria",1,1
3. Marienkind .,"Stück, Kleid",1,4
3. Marienkind .,"Jahr, Türe",1,2
3. Marienkind .,"Sprache, Kind",1,6
3. Marienkind .,"Mädchen, Erde",1,3
3. Marienkind .,"Arbeit, Maria",1,1
3. Marienkind .,"Mutter, Himmel",1,1
3. Marienkind .,"Stimme, Holz",1,1
3. Marienkind .,"Schlüssel, Maria",1,1
3. Marienkind .,"Himmel, Holz",1,1
3. Marienkind .,"Wald, Mutter",1,7
3. Marienkind .,"Herz, Kind",1,15
3. Marienkind .,"Wald, Jungfrau",1,3
3. Marienkind .,"Schlüssel, Tag",1,2
3. Marienkind .,"Kind, Glück",1,2
3. Marienkind .,"Sprache, Königin",1,2
3. Marienkind .,"Gold, Kleid",1,1
3. Marienkind .,"Finger, Herz",1,1
3. Marienkind .,"Stimme, Töchterlein",1,1
3. Marienkind .,"Schlüssel, Kind",1,1
3. Marienkind .,"Gold, Herz",1,6
3. Marienkind .,"Mädchen, Maria",1,1
