tales	similarity (overlap of top 10 nouns)	nouns
1. Der Froschkönig oder der eiserne Heinrich ., 8. Der wunderliche Spielmann .	2	 Wald,  Geselle
1. Der Froschkönig oder der eiserne Heinrich ., 9. Die zwölf Brüder .	2	 Wald,  König
1. Der Froschkönig oder der eiserne Heinrich ., 17. Die weiße Schlange .	2	 Königstochter,  König
1. Der Froschkönig oder der eiserne Heinrich ., 20. Das tapfere Schneiderlein .	2	 Wald,  König
1. Der Froschkönig oder der eiserne Heinrich ., 29. Der Teufel mit den drei goldenen Haaren .	2	 Wasser,  König
1. Der Froschkönig oder der eiserne Heinrich ., 51. Fundevogel .	2	 Wald,  Wasser
1. Der Froschkönig oder der eiserne Heinrich ., 54. Der Ranzen , das Hütlein und das Hörnlein .	2	 Wald,  König
1. Der Froschkönig oder der eiserne Heinrich ., 64. Die goldene Gans .	2	 Wald,  König
1. Der Froschkönig oder der eiserne Heinrich ., 91. Dat Erdmänneken .	2	 Königstochter,  König
1. Der Froschkönig oder der eiserne Heinrich ., 92. Der König vom goldenen Berg .	2	 Wasser,  König
1. Der Froschkönig oder der eiserne Heinrich ., 97. Das Wasser des Lebens .	2	 Wasser,  König
1. Der Froschkönig oder der eiserne Heinrich ., 111. Der gelernte Jäger .	2	 Königstochter,  König
1. Der Froschkönig oder der eiserne Heinrich ., 116. Das blaue Licht .	2	 Königstochter,  König
1. Der Froschkönig oder der eiserne Heinrich ., 127. Der Eisenofen .	2	 Wald,  Königstochter
1. Der Froschkönig oder der eiserne Heinrich ., 136. Der Eisenhans .	2	 Wald,  Brunnen
1. Der Froschkönig oder der eiserne Heinrich ., 146. Die Rübe .	2	 Wagen,  König
1. Der Froschkönig oder der eiserne Heinrich ., 193. Der Trommler .	2	 Wald,  Königstochter
2. Katze und Maus in Gesellschaft ., 12. Rapunzel .	2	 Tag,  Kind
2. Katze und Maus in Gesellschaft ., 15. Hänsel und Grethel .	2	 Haus,  Kind
2. Katze und Maus in Gesellschaft ., 23. Von dem Mäuschen , Vögelchen und der Bratwurst .	2	 Tag,  Maus
2. Katze und Maus in Gesellschaft ., 26. Rothkäppchen .	2	 Tag,  Haus
2. Katze und Maus in Gesellschaft ., 44. Der Gevatter Tod .	2	 Gevatter,  Kind
2. Katze und Maus in Gesellschaft ., 49. Die sechs Schwäne .	2	 Tag,  Kind
2. Katze und Maus in Gesellschaft ., 50. Dornröschen .	2	 Tag,  Kind
2. Katze und Maus in Gesellschaft ., 70. Die drei Glückskinder .	2	 Maus, Katze
2. Katze und Maus in Gesellschaft ., 93. Die Rabe .	2	 Tag,  Haus
2. Katze und Maus in Gesellschaft ., 103. Der süße Brei .	2	 Haus,  Kind
2. Katze und Maus in Gesellschaft ., 109. Das Todtenhemdchen .	2	 Tag,  Kind
2. Katze und Maus in Gesellschaft ., 160. Räthselmärchen .	2	 Tag,  Haus
2. Katze und Maus in Gesellschaft ., 164. Der faule Heinz .	2	 Tag,  Haus
3. Marienkind ., 11. Brüderchen und Schwesterchen .	2	 Königin,  Kind
3. Marienkind ., 13. Die drei Männlein im Walde .	2	 König,  Mädchen
3. Marienkind ., 25. Die sieben Raben .	2	 Mädchen,  Kind
3. Marienkind ., 31. Das Mädchen ohne Hände .	2	 Königin,  Kind
3. Marienkind ., 35. Der Schneider im Himmel .	2	 Türe,  Himmel
3. Marienkind ., 43. Frau Trude .	2	 Mädchen,  Kind
3. Marienkind ., 53. Sneewittchen .	2	 Königin,  Kind
3. Marienkind ., 56. Der Liebste Roland .	2	 Mädchen,  Kind
3. Marienkind ., 76. Die Nelke .	2	 Königin,  Kind
3. Marienkind ., 92. Der König vom goldenen Berg .	2	 König,  Jahr
3. Marienkind ., 96. De drei Vügelkens .	2	 Königin,  König
3. Marienkind ., 103. Der süße Brei .	2	 Mädchen,  Kind
3. Marienkind ., 109. Das Todtenhemdchen .	2	 Jahr,  Kind
3. Marienkind ., 152. Das Hirtenbüblein .	2	 König,  Kind
3. Marienkind ., 161. Schneeweißchen und Rosenroth .	2	 Mädchen,  Kind
3. Marienkind ., full corpus	2	 Mädchen,  Kind
4. Mährchen von einem , der auszog das Fürchten zu lernen ., 9. Die zwölf Brüder .	2	 König,  Feuer
4. Mährchen von einem , der auszog das Fürchten zu lernen ., 13. Die drei Männlein im Walde .	2	 Mann,  König
4. Mährchen von einem , der auszog das Fürchten zu lernen ., 16. Die drei Schlangenblätter .	2	 Mann,  Vater
4. Mährchen von einem , der auszog das Fürchten zu lernen ., 19. Von dem Fischer un syner Fru .	2	 Mann,  König
4. Mährchen von einem , der auszog das Fürchten zu lernen ., 20. Das tapfere Schneiderlein .	2	 Mann,  König
4. Mährchen von einem , der auszog das Fürchten zu lernen ., 37. Daumesdick .	2	 Mann,  Vater
4. Mährchen von einem , der auszog das Fürchten zu lernen ., 55. Rumpelstilzchen .	2	 König,  Nacht
4. Mährchen von einem , der auszog das Fürchten zu lernen ., 64. Die goldene Gans .	2	 Mann,  König
4. Mährchen von einem , der auszog das Fürchten zu lernen ., 92. Der König vom goldenen Berg .	2	 Mann,  König
