Characters,CharacterFrequency
"Alte, Auge",4
"Bett, Tochter",4
"Bett, Abend",4
"Hexe, Feuer",4
"Feuer, Tier",4
"Zauberin, Frau",4
"Rapunzel, Mann",4
"Mutter, Mann",4
"Wald, Brunnen",4
"Kugel, Brunnen",4
"Königstochter, Kopf",4
"Kugel, Frosch",4
"Frosch, Brunnen",4
"Tür, König",4
"Wasser, Vater",4
"Kind, Brunnen",4
"Stuhl, Fuß",4
"Vater, Bett",4
"Pferd, Diener",4
"Herz, Herr",4
"Weg, Herr",4
"Katze, Name",4
"Gevatter, Haus",4
"Tag, Maus",4
"Kind, Name",4
"'er, Katze",4
"Haar, Kind",4
"Frau, Holz",4
"Jungfrau, Jahr",4
"Kind, Türe",4
"Engel, Himmel",4
"Nacht, Leben",4
"Stück, Kleid",4
"Schloß, Kopf",4
"Tür, Nacht",4
"Jungfrau, Sprache",4
"Königin, Maria",4
"Königin, Leute",4
"Erde, Herz",4
"Vater, Leute",4
"Vater, Nacht",4
"Vater, Ei",4
"Bruder, Mir_Es",4
"Vater, Gruseln",4
"Gruseln, Junge",4
"Sohn, Haus",4
"Frau, Bein",4
"Bein, Haus",4
"Vater, Stück",4
"Vater, Baum",4
"Stück, Baum",4
"Stück, Tag",4
"Welt, Nacht",4
"Welt, Baum",4
"Welt, Tag",4
"Mir_Es, Junge",4
"'siehst, Mensch",4
"Mensch, Tag",4
"Nacht, Baum",4
"Nacht, Tochter",4
"Baum, Mann",4
"Schloß, Leben",4
"Schloß, Auge",4
"Kammer, Nacht",4
"Feuer, Auge",4
"Bett, Schloß",4
"Mensch, Schloß",4
"Finger, Mann",4
"Erde, Tag",4
"Hand, Gesicht",4
"Alte, Axt",4
"Alte, Junge",4
"Gold, Schloß",4
"'nein, König",4
"Weg, Mutter",4
"Mutter, Stück",4
"Wolf, Pfote",4
"Leben, Haus",4
"Bild, König",4
"Bild, Johannes",4
"König, Frieden",4
"Schloß, Johannes",4
"Leben, Sohn",4
"Leben, Tod",4
"Sohn, Auge",4
"Tod, Auge",4
"Zeit, Leben",4
"Ei, Herz",4
"Riese, Stein",4
"Schneider, Erde",4
"Schneider, Wald",4
"Schneiderlein, Baum",4
"Schneider, Tier",4
"Baum, Axt",4
"Vater, Ohr",4
"Ohr, Mann",4
"Ohr, Herr",4
"Nacht, Herr",4
"Nacht, Diener",4
"Arbeit, Abend",4
"Arbeit, Tag",4
"Asche, Erbse",4
"Aschenputtel, Kleid",4
"Vöglein, Tag",4
"Mädchen, Asche",4
"Asche, Vöglein",4
"Asche, Taubechen",4
"Asche, Kleid",4
"Asche, Himmel",4
"Garten, Himmel",4
"Vöglein, Taubechen",4
"Vöglein, Himmel",4
"Taubechen, Himmel",4
"Vater, Königssohn",4
"Tag, Kleid",4
"Vogel, Baum",4
"Fuß, Mann",4
"Mutter, Königssohn",4
"Pferd, Haus",4
"Wirt, Ding",4
"Magd, Bett",4
"Mantel, Nacht",4
"Morgen, Königstochter",4
"Wasser, Maus",4
"Feuer, Tisch",4
"Maus, Tisch",4
"Wasser, Holz",4
"Arbeit, Kind",4
"Herz, Alte",4
"Leben, Tag",4
"Frau, Sohn",4
"Krug, Brunnen",4
"Mädchen, Eltern",4
"Vater, Ring",4
"Wein, Großmutter",4
"Wald, Großmutter",4
"Wein, Wolf",4
"Wald, Auge",4
"Weg, Zeit",4
"Freude, Tag",4
"Blume, Tag",4
"Großmutter, Türe",4
"Frau, Stube",4
"Stube, Haus",4
"Jäger, Haus",4
"Wald, Kuchen",4
"Arbeit, Mann",4
"Tag, Kopf",4
"Katze, Esel",4
"Hund, Baum",4
"Hund, Sprache",4
"Räuber, Haus",4
"Türe, Mann",4
"Land, Mann",4
"Hand, Schwein",4
"Bruder, Schwein",4
"Gold, Geld",4
"Pfarrer, Herr",4
"Pfarrer, Fuß",4
"Füchsin, Fuchs",4
"Fuchs, Türe",4
"Füchsin, Herr",4
"Katze, Wolf",4
"Auge, Kopf",4
"Mädchen, Weg",4
"Faß, Wein",4
"Gevatter, Welt",4
"Kind, Tod",4
"Tod, Fuß",4
"Gevatter, Treppe",4
"Finger, Treppe",4
